FFDate,Mkt-RF,SMB,HML,RF
195107,6.99,-1.87,1.95,0.13
195108,4.38,0.84,0.21,0.13
195109,0.80,2.00,0.72,0.12
195110,-2.40,-0.41,0.11,0.16
195111,0.48,-0.31,0.38,0.11
195112,3.37,-2.05,-1.91,0.12
195201,1.54,-0.74,1.87,0.15
195202,-2.62,0.67,-0.26,0.12
195203,4.45,-2.98,2.26,0.11
195204,-5.01,0.39,0.25,0.12
195205,3.16,-1.05,0.15,0.13
195206,3.78,-1.60,1.19,0.15
195207,1.00,-0.32,-0.35,0.15
195208,-0.81,1.16,-0.12,0.15
195209,-2.06,1.23,-1.64,0.16
195210,-0.69,-1.10,-0.30,0.14
195211,5.78,-0.63,1.08,0.10
195212,2.96,-1.41,0.18,0.16
195301,-0.29,3.50,1.25,0.16
195302,-0.31,2.20,-0.10,0.14
195303,-1.52,-0.01,-1.01,0.18
195304,-2.91,0.31,1.48,0.16
195305,0.54,-0.08,0.14,0.17
195306,-1.85,-1.78,-0.49,0.18
195307,2.38,-1.00,-0.37,0.15
195308,-4.58,0.42,-3.62,0.17
195309,0.15,-0.77,-2.59,0.16
195310,4.58,-1.37,0.08,0.13
195311,2.75,-1.22,-0.35,0.08
195312,-0.05,-0.75,-2.95,0.13
195401,5.14,0.47,3.48,0.11
195402,1.68,-0.19,-0.24,0.07
195403,3.64,-0.51,-1.53,0.08
195404,4.19,-3.44,-0.49,0.09
195405,3.11,0.38,2.54,0.05
195406,1.09,0.40,0.01,0.06
195407,4.99,0.93,4.29,0.05
195408,-2.30,2.73,-1.68,0.05
195409,6.34,-2.44,0.58,0.09
195410,-1.69,0.51,0.72,0.07
195411,9.47,-2.46,4.01,0.06
195412,5.52,2.12,5.68,0.08
195501,0.62,0.32,2.04,0.08
195502,3.04,1.45,0.76,0.09
195503,-0.21,-0.67,1.97,0.10
195504,3.13,-1.75,0.87,0.10
195505,1.05,-0.24,-0.79,0.14
195506,6.48,-4.54,1.72,0.10
195507,1.93,-1.12,0.34,0.10
195508,0.26,-0.44,0.71,0.16
195509,-0.36,0.30,-1.01,0.16
195510,-2.75,1.50,-0.11,0.18
195511,6.99,-2.15,0.28,0.17
195512,1.46,2.15,-2.36,0.18
195601,-3.02,0.35,0.96,0.22
195602,3.76,-0.95,-0.40,0.19
195603,6.67,-1.96,-0.80,0.15
195604,0.32,-0.01,-0.17,0.19
195605,-5.15,1.38,-1.20,0.23
195606,3.52,-1.44,-1.13,0.20
195607,4.86,-1.82,0.20,0.22
195608,-3.20,2.25,-1.18,0.17
195609,-5.14,1.65,1.77,0.18
195610,0.47,-0.16,-0.06,0.25
195611,0.26,-0.20,1.79,0.20
195612,3.25,-0.16,-1.95,0.24
195701,-3.47,3.78,2.22,0.27
195702,-2.11,-0.73,-0.65,0.24
195703,2.18,0.24,-0.36,0.23
195704,4.26,-1.86,-1.21,0.25
195705,3.40,-1.06,-2.20,0.26
195706,-0.75,0.63,-0.21,0.24
195707,0.59,-0.53,0.00,0.30
195708,-5.25,-0.01,-0.33,0.25
195709,-6.02,0.07,0.90,0.26
195710,-4.40,-2.56,-1.80,0.29
195711,2.27,0.34,-2.79,0.28
195712,-3.98,-0.91,-1.69,0.24
195801,4.71,4.34,4.21,0.28
195802,-1.53,0.72,0.23,0.12
195803,3.29,0.79,-1.22,0.09
195804,3.00,-0.66,1.63,0.08
195805,2.35,2.14,-0.20,0.11
195806,2.92,-0.24,0.50,0.03
195807,4.42,0.44,3.16,0.07
195808,1.87,1.19,0.32,0.04
195809,4.67,0.09,3.03,0.19
195810,2.57,1.17,-1.28,0.18
195811,2.94,2.06,-1.32,0.11
195812,5.07,-2.08,0.02,0.22
195901,0.71,3.01,2.94,0.21
195902,0.94,1.52,1.05,0.19
195903,0.23,1.46,-0.27,0.22
195904,3.59,-0.58,-1.25,0.20
195905,1.73,-2.18,1.87,0.22
195906,-0.19,0.66,1.40,0.25
195907,3.17,-0.30,0.20,0.25
195908,-1.43,-0.78,0.39,0.19
195909,-4.80,-0.10,0.50,0.31
195910,1.27,1.43,-2.06,0.30
195911,1.59,1.30,-3.29,0.26
195912,2.46,-0.56,-0.10,0.34
196001,-6.97,2.10,2.77,0.33
196002,1.13,0.56,-1.98,0.29
196003,-1.63,-0.43,-2.91,0.35
196004,-1.72,0.43,-2.39,0.19
196005,3.13,1.35,-3.80,0.27
196006,2.06,-0.16,-0.33,0.24
196007,-2.40,-0.50,2.14,0.13
196008,3.06,0.90,-0.39,0.17
196009,-6.02,-1.12,1.48,0.16
196010,-0.70,-3.91,2.59,0.22
196011,4.72,0.39,-2.48,0.13
196012,4.69,-1.51,-0.66,0.16
196101,6.20,0.83,3.73,0.19
196102,3.56,4.06,-0.75,0.14
196103,2.86,3.25,-0.70,0.20
196104,0.40,0.13,1.89,0.17
196105,2.40,1.97,0.52,0.18
196106,-3.05,-2.48,-0.29,0.20
196107,2.81,-1.91,-0.17,0.18
196108,2.55,-1.84,-0.24,0.14
196109,-2.17,-1.13,-0.49,0.17
196110,2.55,-2.02,0.46,0.19
196111,4.39,1.10,-0.90,0.15
196112,-0.12,-1.13,2.21,0.19
196201,-3.86,1.88,5.03,0.24
196202,1.75,-1.17,0.86,0.20
196203,-0.67,0.23,-0.98,0.20
196204,-6.57,-0.98,0.41,0.22
196205,-8.71,-2.89,2.31,0.24
196206,-8.46,-0.73,2.89,0.20
196207,6.28,1.58,-3.64,0.27
196208,2.11,1.29,-1.19,0.23
196209,-5.23,-2.56,1.46,0.21
196210,-0.04,-3.99,1.23,0.26
196211,10.81,2.66,0.99,0.20
196212,0.96,-3.80,0.31,0.23
196301,4.93,3.11,2.29,0.25
196302,-2.42,0.38,2.26,0.23
196303,3.06,-2.55,2.14,0.23
196304,4.49,-1.33,1.10,0.25
196305,1.77,1.09,2.77,0.24
196306,-2.03,-0.26,0.79,0.23
196307,-0.44,-0.50,-0.97,0.27
196308,5.02,-1.04,1.79,0.25
196309,-1.46,-0.33,0.19,0.27
196310,2.48,-0.55,-0.04,0.29
196311,-0.82,-1.10,1.66,0.27
196312,1.88,-1.99,0.01,0.29
196401,2.28,-0.18,1.54,0.30
196402,1.46,0.08,2.84,0.26
196403,1.45,0.95,3.43,0.31
196404,0.17,-1.37,-0.52,0.29
196405,1.48,-0.89,1.91,0.26
196406,1.21,-0.30,0.74,0.30
196407,1.71,0.16,0.79,0.30
196408,-1.41,0.00,0.23,0.28
196409,2.77,-0.71,1.83,0.28
196410,0.60,0.46,1.01,0.29
196411,0.02,0.64,-1.91,0.29
196412,0.06,-0.28,-2.56,0.31
196501,3.58,2.51,0.42,0.28
196502,0.39,3.28,0.43,0.30
196503,-1.33,1.78,1.10,0.36
196504,3.06,1.17,0.66,0.31
196505,-0.75,0.06,-1.60,0.31
196506,-5.54,-4.17,0.41,0.35
196507,1.37,0.85,2.25,0.31
196508,2.76,2.86,-1.06,0.33
196509,2.89,0.61,-0.12,0.31
196510,2.62,2.43,1.66,0.31
196511,-0.04,4.67,0.22,0.35
196512,1.02,2.06,2.07,0.33
196601,0.83,3.84,3.54,0.38
196602,-1.21,4.47,0.37,0.35
196603,-2.47,0.94,-2.01,0.38
196604,2.14,3.35,-0.39,0.34
196605,-5.66,-4.62,-1.66,0.41
196606,-1.41,1.06,0.55,0.38
196607,-1.64,-0.49,1.13,0.35
196608,-7.95,-3.31,0.55,0.41
196609,-1.10,-1.08,0.47,0.40
196610,3.78,-6.60,2.87,0.45
196611,1.35,4.52,-4.83,0.40
196612,0.22,1.92,-1.36,0.40
196701,8.12,8.54,1.69,0.43
196702,0.73,3.37,-2.20,0.36
196703,3.95,1.65,0.24,0.39
196704,3.84,0.58,-2.57,0.32
196705,-4.26,1.92,0.95,0.33
196706,2.42,5.95,1.00,0.27
196707,4.60,3.09,2.66,0.32
196708,-0.94,0.48,1.48,0.31
196709,3.11,3.03,-2.38,0.32
196710,-3.13,1.42,-3.33,0.39
196711,0.43,0.16,-1.70,0.36
196712,3.04,5.76,-0.49,0.33
196801,-4.03,3.92,4.77,0.40
196802,-3.75,-2.93,1.22,0.39
196803,0.13,-1.30,-0.51,0.38
196804,8.98,5.75,-1.15,0.43
196805,2.25,6.45,0.81,0.45
196806,0.72,-0.20,0.75,0.43
196807,-2.68,-1.36,5.45,0.48
196808,1.38,2.33,0.98,0.42
196809,4.02,2.79,0.22,0.43
196810,0.46,-0.48,2.95,0.44
196811,5.43,2.35,-0.91,0.42
196812,-3.82,3.38,0.06,0.43
196901,-1.20,-0.80,1.57,0.53
196902,-5.82,-3.90,0.93,0.46
196903,2.59,-0.28,-0.45,0.46
196904,1.52,-0.85,0.06,0.53
196905,0.02,-0.27,0.74,0.48
196906,-7.25,-5.31,-1.15,0.51
196907,-7.05,-3.27,1.36,0.53
196908,4.65,0.89,-3.83,0.50
196909,-2.88,1.20,-3.24,0.62
196910,4.96,3.78,-3.19,0.60
196911,-3.74,-2.58,-1.15,0.52
196912,-2.61,-3.65,-3.01,0.64
197001,-7.93,2.91,3.03,0.60
197002,5.05,-2.44,3.92,0.62
197003,-1.04,-2.39,4.15,0.57
197004,-11.03,-6.12,6.30,0.50
197005,-6.96,-4.51,3.51,0.53
197006,-5.69,-2.13,0.82,0.58
197007,6.90,-0.55,1.01,0.52
197008,4.47,1.51,1.26,0.53
197009,4.21,8.73,-5.62,0.54
197010,-2.28,-4.23,0.22,0.46
197011,4.58,-4.04,1.73,0.46
197012,5.65,2.92,0.96,0.42
197101,4.82,7.48,1.53,0.38
197102,1.36,1.87,-1.38,0.33
197103,4.18,2.58,-4.01,0.30
197104,3.05,-0.43,0.93,0.28
197105,-3.93,-1.08,-1.28,0.29
197106,-0.06,-1.43,-2.14,0.37
197107,-4.43,-1.48,0.01,0.40
197108,3.78,-0.14,2.66,0.47
197109,-0.87,0.45,-2.94,0.37
197110,-4.44,-1.77,-0.51,0.37
197111,-0.50,-2.89,-1.67,0.37
197112,8.76,3.37,-0.26,0.37
197201,2.55,6.10,2.13,0.29
197202,2.88,1.37,-2.84,0.25
197203,0.60,-0.28,-1.68,0.27
197204,0.26,0.01,0.39,0.29
197205,1.34,-2.77,-2.71,0.30
197206,-2.38,0.36,-2.40,0.29
197207,-0.74,-2.86,0.72,0.31
197208,3.31,-4.09,4.62,0.29
197209,-1.11,-2.67,0.48,0.34
197210,0.47,-2.71,1.36,0.40
197211,4.61,-1.13,4.78,0.37
197212,0.75,-1.87,-2.30,0.37
197301,-3.20,-3.51,2.70,0.44
197302,-4.86,-3.98,1.71,0.41
197303,-1.25,-2.91,2.79,0.46
197304,-5.70,-4.03,5.65,0.52
197305,-2.96,-6.12,0.17,0.51
197306,-1.38,-2.96,1.40,0.51
197307,5.07,7.96,-5.31,0.64
197308,-3.67,-2.14,1.22,0.70
197309,4.72,2.89,2.14,0.68
197310,-0.68,-0.21,1.76,0.65
197311,-12.64,-7.75,3.99,0.56
197312,0.50,-5.31,4.05,0.64
197401,-0.19,9.79,5.88,0.63
197402,-0.35,-0.06,2.51,0.58
197403,-2.90,2.41,-0.08,0.56
197404,-5.35,-0.82,0.96,0.75
197405,-4.95,-2.94,-2.00,0.75
197406,-2.89,-0.16,0.80,0.60
197407,-7.79,0.86,5.17,0.70
197408,-9.38,-0.70,2.61,0.60
197409,-11.78,0.31,5.50,0.81
