Month,VISVX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2009-may,10.16, 3.4623, 3.4623,,6.73,-2.61,0.44,0.0
2009-jun,10.15,-0.0984,-0.0984,,-0.28,2.64,-2.48,0.0
2009-jul,11.23,10.6404,10.6304,,8.24,2.48,4.83,0.01
2009-aug,11.92, 6.1443, 6.1343,,3.18,-0.58,7.62,0.01
2009-sep,12.58, 5.5369, 5.5369,,4.52,2.36,1.5,0.0
2009-oct,11.78,-6.3593,-6.3593,,-2.84,-4.28,-4.38,0.0
2009-nov,12.21, 3.6503, 3.6503,,5.74,-2.83,0.12,0.0
2009-dec,13.05, 6.8796, 6.8796,,2.92,5.88,0.74,0.0
2010-jan,12.65,-3.0651,-3.0651,,-3.71,0.43,0.57,0.0
2010-feb,13.31, 5.2174, 5.2174,,3.54,1.41,2.75,0.0
2010-mar,14.38, 8.0391, 8.0391,,6.44,1.59,2.02,0.0
2010-apr,15.27, 6.1892, 6.1892,,2.02,5.0,3.14,0.0
2010-may,14.05,-7.9895,-7.9995,,-8.0,-0.03,-2.36,0.01
2010-jun,12.92,-8.0427,-8.0527,,-5.21,-2.05,-4.28,0.01
2010-jul,13.88, 7.4303, 7.4203,,7.24,-0.08,0.13,0.01
2010-aug,12.95,-6.7003,-6.7103,,-4.4,-2.92,-1.71,0.01
2010-sep,14.3,10.4247,10.4147,,9.24,3.97,-3.14,0.01
2010-oct,14.81, 3.5664, 3.5564,,3.89,0.91,-2.14,0.01
2010-nov,15.15, 2.2957, 2.2857,,0.58,3.71,-0.64,0.01
