
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199110   4.71   2.61   6.73   3.01   5.40   2.16   4.17   2.01   7.74   5.03
199111  -6.41  -7.47  -6.77  -7.40  -5.41  -5.18  -8.98  -6.87  -5.90  -8.53
199112   2.99   4.09   2.81   3.69   3.04   3.85   4.05   4.38   2.06   3.12
199201  -4.93  -1.23  -7.17  -1.05  -7.04  -2.32  -3.79  -2.80  -6.96  -6.80
199202  -6.42  -6.14  -7.27  -5.51  -8.13  -4.42  -4.38  -5.75  -8.10  -6.81
199203  -9.64  -8.65 -10.90  -7.55 -11.27  -7.76  -9.39  -8.59 -11.18 -10.93
199204  -5.15   1.10  -8.96   0.95  -9.51   1.58  -4.58  -1.01  -9.50  -9.33
199205   7.99   6.83   9.24   6.87   8.92   5.52   8.65   7.37   8.99  15.80
199206  -7.76  -6.26  -9.22  -6.08  -9.58  -4.71  -7.55  -6.32  -8.93 -10.25
199207  -1.30  -3.68   0.97  -4.22   1.62  -2.39  -4.85  -2.77   1.39  -0.89
199208  13.91   9.37  18.44   9.55  18.91   7.15  13.82  10.71  19.11  14.56
199209  -3.01  -2.60  -3.82  -3.64  -3.49  -3.74  -3.34  -2.24  -3.98  -0.73
199210  -3.86  -2.83  -3.50  -2.70  -4.19  -3.27  -4.45  -4.20  -2.70  -9.80
199211   2.19   1.97   3.51   1.78   3.40   0.78   2.76   1.41   3.77   1.02
199212  -0.90  -0.54  -0.98  -0.51  -1.71   0.98  -2.29  -0.81  -0.78  -3.03
199301   0.06  -0.47   0.00  -0.08   0.37   0.52   0.14   0.31  -0.35   2.58
199302   4.71   3.54   4.59   3.72   4.65   5.41   3.45   4.65   4.81   2.55
199303  13.82  17.60   9.98  14.00  10.37  21.51  10.93  16.60   7.98  16.74
199304  15.42  18.22  12.61  15.84  13.80  15.79  12.73  17.59  12.44  20.33
199305   3.63   2.04   5.98   2.02   5.73   0.22   2.17   2.22   6.68   7.22
