
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198902   0.64   0.59   0.22   0.90   0.60  -1.09   1.44   1.29  -1.08   7.26
198903  -2.26  -0.51  -2.77  -2.44  -2.73  -4.37  -0.48  -2.78  -3.19   2.56
198904   1.30   2.62   0.60   1.24   1.52   2.12   1.44   2.96   0.07   5.34
198905  -4.75  -2.10  -5.81  -2.63  -6.28  -1.29  -5.77  -3.80  -4.79  -2.90
198906  -1.97  -1.10  -2.23  -1.39  -2.28  -1.93  -2.61  -2.33  -1.04  -4.70
198907  12.32   9.84  13.43  11.29  13.69  10.55  12.79  11.25  13.34   8.28
198908  -4.82  -3.42  -4.82  -3.80  -6.04  -5.55  -5.14  -6.20  -3.99  -9.66
198909   5.41   6.32   4.79   5.56   5.82   4.38   6.29   5.48   4.73   5.30
198910  -4.48  -4.10  -4.54  -4.15  -4.77  -3.75  -2.31  -3.76  -5.90  -4.20
198911   5.17   2.85   5.96   4.19   6.39   4.29   4.01   5.09   5.09   7.80
198912   3.98   4.48   3.35   3.35   3.55   3.29   2.70   3.43   4.44   4.05
199001  -3.47  -1.59  -4.70  -1.96  -4.77  -2.35  -4.04  -2.63  -4.58  -3.65
199002  -6.88  -6.04  -7.25  -6.35  -7.06  -5.60  -6.43  -5.96  -7.55  -4.87
199003  -9.45  -7.69 -10.80  -6.96 -10.15  -7.19 -11.79  -9.73  -8.27 -11.40
199004  -1.51  -1.08  -1.28  -1.00  -2.35  -1.15  -0.11  -0.18  -3.23  -0.22
199005  11.48   9.89  12.73  10.23  13.48   9.07  13.50  11.01  12.23  14.63
199006  -0.64   0.56  -1.22   0.08  -0.91   0.05  -0.49  -1.14   0.42  -5.87
199007   2.20   2.31   2.46   1.55   2.47   0.71   2.62   2.25   2.37   3.08
199008 -10.28 -11.03 -10.01 -11.22 -11.07  -9.84 -10.96  -9.31  -9.74 -14.58
199009 -13.82 -13.29 -15.16 -14.11 -14.24 -13.02 -13.80 -13.75 -14.99 -17.91
199010  16.31  13.24  17.01  13.26  19.77  14.65  19.14  14.39  15.42  25.06
199011  -6.05  -6.00  -7.00  -5.00  -8.60  -6.46  -8.39  -6.87  -5.09 -13.71
199012   1.39   0.00   2.23   0.53   2.10   1.50   0.37   1.23   1.99   3.67
199101   3.24   3.18   3.25   2.86   2.08   3.25   2.25   3.35   3.65   4.57
199102   9.96  13.31   7.94  13.90   9.45  11.44  11.09  13.00   6.56  16.99
199103  -5.25  -5.62  -4.96  -5.55  -5.17  -5.67  -5.78  -5.96  -4.12  -7.35
199104   1.63   1.26   1.36   1.17   0.70   0.45   1.11   1.22   2.13   0.28
199105  -0.53  -1.29  -0.72  -1.38  -1.15  -1.00  -1.27  -0.53  -0.57   0.68
199106  -6.91  -7.06  -7.23  -6.22  -7.27  -5.50  -6.91  -6.87  -6.88  -9.28
199107   4.94   5.68   4.28   5.26   4.01   4.73   4.62   5.05   4.03   5.35
199108  -2.11  -2.75  -1.76  -2.64  -2.58  -1.83  -3.69  -2.35  -1.93  -2.20
199109   5.51   6.08   4.95   5.73   5.45   4.28   8.76   6.51   4.12   7.51
199110   1.75   0.27   3.29   0.31   2.55   0.15   2.14  -0.19   4.23  -0.41
199111  -4.37  -6.18  -4.06  -5.74  -3.23  -4.29  -5.59  -5.54  -3.46  -6.38
199112   5.08   4.58   5.62   4.44   5.74   4.30   6.63   5.32   5.24   5.20
199201  -2.69   0.19  -3.76  -0.23  -4.19  -1.11  -1.89  -1.38  -3.73  -3.16
199202  -3.33  -3.36  -3.67  -2.57  -4.27  -2.05  -1.86  -3.17  -4.18  -2.87
199203  -6.45  -5.95  -7.07  -5.38  -7.50  -5.33  -6.20  -5.98  -7.37  -7.90
199204   0.29   4.87  -2.38   3.81  -2.79   4.54  -0.35   3.36  -2.82  -1.54
199205   6.56   6.17   7.05   6.29   7.05   6.10   6.59   6.33   7.10  10.06
199206  -4.46  -4.53  -4.63  -3.66  -5.53  -4.36  -4.06  -5.27  -4.42  -5.88
199207  -2.65  -5.15  -1.33  -4.32  -0.67  -3.46  -3.59  -3.66  -1.09  -3.40
199208   6.31   3.16   8.75   4.37   8.81   3.44   6.46   4.38   8.94   7.89
199209  -2.43  -2.20  -2.50  -3.97  -2.20  -4.19  -2.64  -1.93  -3.23  -3.07
199210  -5.57  -4.84  -5.08  -4.79  -5.46  -5.98  -5.84  -5.40  -4.79  -9.97
199211   1.34   1.29   1.74   1.30   1.40   0.66   1.09   0.81   1.83   0.86
199212   0.42   0.98   0.07   0.80  -0.22   1.59  -0.82   0.90  -0.02  -1.59
199301   0.21   2.78  -0.60   1.77  -0.26   1.52  -0.94   2.28  -1.04   4.22
199302   3.07   2.86   2.59   3.23   2.57   3.99   1.40   3.51   2.69   1.36
199303   9.82  13.12   7.40  10.71   7.26  14.60   7.70  11.77   6.10   9.88
199304   9.03  11.02   7.41   9.12   8.02   9.30   7.51  10.89   7.44  11.44
199305   2.55   2.11   3.71   1.60   4.12   0.88   1.90   1.87   4.16   5.06
199306  -3.11  -3.73  -2.46  -4.04  -2.47  -4.14  -4.26  -3.20  -2.05  -5.46
199307   4.72   5.74   4.31   5.41   4.51   6.15   3.76   5.16   4.65   1.73
199308   5.28   6.04   5.18   5.63   5.21   5.05   5.46   4.73   5.33   5.05
199309  -2.87  -2.49  -2.99  -1.64  -3.02  -3.03  -0.65  -2.98  -2.58  -6.94
199310   2.37   2.38   2.61   2.37   3.19   3.29   0.49   2.60   2.81  -2.77
199311  -8.40  -7.69  -9.31  -6.97  -9.62  -6.77  -7.51  -7.08  -9.35  -7.98
199312   6.79   8.94   5.41   7.72   6.39   8.34   5.58   6.25   6.68  10.12
199401  10.15  12.60   9.39   9.05  11.17  12.10  10.14   9.83  10.22  15.64
199402  -0.87   0.26  -1.42  -1.03  -1.04   0.32  -0.75  -1.12  -1.11  -0.48
199403  -3.43  -2.25  -4.04  -3.48  -4.05  -2.19  -2.02  -2.61  -4.24   0.68
199404   3.86   4.51   3.74   2.50   4.54   3.41   3.37   4.03   3.43   4.61
199405  -0.74   0.19  -1.60  -0.93  -1.11  -1.00  -1.49  -0.68  -1.11  -0.83
199406   1.86   2.40   1.37   2.63   1.29   2.55   2.30   2.53   1.32   4.10
199407   0.73   0.33   0.84   1.57   0.90   0.59   1.34   0.66   0.67  -0.17
199408   2.12   2.08   2.27   1.65   1.94   3.61   2.58   1.93   1.81   1.78
199409  -3.14  -2.86  -3.14  -2.83  -3.36  -3.13  -2.21  -2.41  -2.97  -3.01
199410   3.66   3.97   3.32   2.84   3.75   4.20   2.72   3.71   3.42   3.62
199411  -5.27  -5.71  -5.00  -4.66  -5.58  -6.01  -4.39  -5.29  -5.24  -6.55
199412   1.07   0.67   1.73   1.08   1.50   1.27   0.21   0.44   1.58   0.46
199501  -4.02  -3.79  -3.75  -3.34  -4.04  -4.91  -4.20  -3.33  -3.68  -4.26
199502  -0.38  -0.54  -0.05   0.63  -0.97   0.81  -0.75   0.15  -0.38  -2.00
199503   5.66   5.81   6.38   6.51   5.69   6.66   6.18   6.34   5.23   2.04
199504   4.24   2.91   4.97   3.57   5.30   3.40   4.03   3.27   5.38   2.65
199505  -1.30  -0.90  -1.60  -0.13  -1.39  -1.07  -1.69  -0.76  -0.62  -4.24
199506  -1.52  -1.11  -1.41  -0.23  -2.19   0.03  -0.23  -1.01  -2.30  -3.57
199507   5.81   5.45   5.91   4.74   7.24   5.02   5.58   3.45   7.90   7.21
199508  -3.08  -3.12  -3.04  -2.70  -3.54  -1.85  -1.75  -3.59  -3.79  -1.49
199509   1.08   0.39   1.29   2.01   0.86   1.11   0.43   1.50   1.47   0.05
199510  -1.66  -1.54  -1.39   0.17  -2.49  -2.88  -1.35  -0.43  -2.55  -4.98
199511   2.25   2.41   2.13   1.40   3.11   0.30   1.46   1.04   2.79   2.02
199512   3.86   4.47   3.62   3.37   4.24   3.20   2.78   3.28   3.55   3.18
199601   0.29   1.59  -0.20   1.64  -0.80   1.76   0.64   0.95  -0.40  -0.13
199602   0.56   1.30   0.41   1.78  -0.23   2.04   1.48   1.20   0.15   1.45
199603   1.91   1.48   2.20   1.43   2.86  -0.05   2.89   0.47   2.85   1.97
199604   2.89   3.39   2.38   2.50   2.10   3.88   3.40   3.39   2.40   4.69
199605  -1.06  -1.52  -0.79  -0.88  -1.16  -1.88  -0.71  -1.68  -1.40  -0.79
199606   0.56   0.14   0.75   0.66   0.31   0.33   0.32  -0.14   0.76  -1.53
199607  -2.92  -2.86  -3.09  -2.23  -3.63  -3.56  -2.91  -1.82  -3.56  -4.34
199608  -0.08   0.21  -0.01  -0.08   0.48   0.35  -0.51  -0.67   0.65  -1.49
199609   3.00   2.67   2.84   3.45   2.78   2.63   3.17   2.11   2.52  -0.78
199610  -1.33  -1.83  -1.56  -1.53  -1.32  -1.96  -1.94  -1.06  -1.54  -1.59
199611   4.04   5.87   3.30   5.01   2.75   5.45   2.55   4.24   3.14   0.87
199612  -1.00  -0.34  -1.71   0.30  -2.58   1.66  -1.92   0.10  -2.13  -3.19
199701  -3.77  -3.38  -4.32  -1.56  -4.89  -1.13  -3.36  -3.11  -4.70  -1.77
199702   1.56   1.65   1.52   2.56   1.33   1.18   1.02   1.39   2.07   0.64
199703   0.65  -0.20   0.60   0.41  -0.44   1.60   0.84   0.80   0.24   0.37
199704   0.48  -1.37   1.25   1.09  -0.17   1.17   1.16  -0.93   1.03  -0.44
199705   7.20   8.08   7.09   6.14   7.83   6.44   6.99   6.78   7.04   8.38
199706   5.37   4.14   6.01   4.08   5.60   7.06   4.82   3.92   6.01   3.20
199707   1.73   2.28   2.18   3.64   1.00   0.94   1.74   1.18   2.58   0.13
199708  -7.12  -5.44  -7.21  -6.83  -7.02  -5.95  -7.95  -5.34  -7.89  -6.60
199709   5.61   4.45   6.23   5.94   4.59   3.27   6.63   4.35   6.27   0.74
199710  -7.19  -5.17  -8.32  -7.10  -7.82  -5.87  -6.62  -3.60  -8.51  -4.31
199711  -1.01  -3.93   0.11  -1.39   0.46  -1.95   0.43  -1.91   0.54  -6.19
199712   0.41   0.25   0.69  -0.17   0.59  -1.79   0.80   0.35   0.53  -4.38
199801   4.90  11.44   4.53   5.75   5.10   7.00   3.73   7.21   4.63  12.17
199802   6.36  10.03   5.66   8.71   6.76   6.34   4.96   7.50   5.73  12.56
199803   3.05   3.52   1.88   4.64   0.93   5.70   3.50   4.29   2.75   2.28
199804   0.73   0.80   1.30  -0.52   1.03   0.78   1.13   0.11   0.77   2.42
199805   0.25   0.07   0.31  -1.09   0.41   0.79   0.75   0.14   0.22   0.96
199806   0.25  -1.94   0.83  -0.98   1.30   0.20   1.48  -0.29   1.30   3.71
199807   0.96   0.42   1.04  -0.51   0.87   1.54   0.30   1.37   1.49   3.42
199808 -12.01 -13.80 -10.76 -13.74 -10.34 -12.71  -9.56 -11.64 -11.39 -13.87
199809  -2.37  -3.34  -1.35  -3.66  -1.54  -1.11  -0.46  -3.83  -2.52  -7.85
199810  10.11   9.27  10.06  10.33  10.78   7.47   8.94  10.90  10.26  10.15
199811   5.06   4.93   4.70   5.65   4.07   4.07   4.01   3.77   5.62   7.51
199812   3.65   2.21   4.65   1.24   4.94   4.10   5.99   3.01   5.18   4.63
199901  -0.25  -1.69  -0.11  -1.00   0.12  -2.03  -0.27  -2.95  -0.73   9.51
199902  -2.46  -0.71  -3.22  -1.18  -2.99   1.46  -3.08  -1.10  -3.61  -4.69
