
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
200006   7.43  13.38   6.31   9.21   4.80  11.20   5.96  10.23   7.11
200007  -9.19  -9.31  -9.22  -5.96  -9.26  -7.24  -9.98  -6.72  -9.38
200008   5.68   5.79   5.31   0.93   6.85   2.16   6.47   3.02   6.17
200009  -4.53  -1.92  -5.86  -0.86  -4.10  -2.79  -5.64  -1.59  -5.69
200010  -6.27  -1.53  -7.78  -3.74  -9.45  -1.53 -10.42  -1.30  -8.20
200011  -2.19   1.29  -2.28   0.04  -1.09   1.50  -1.93   3.20  -3.16
200012  -5.90  -2.69  -8.12  -0.44 -11.53  -0.74 -11.11  -0.11  -8.50
200101   0.41  -0.38   0.53   0.44   1.72  -0.37   2.31  -3.46   2.11
200102  -5.08   0.84  -7.78  -2.51  -8.97  -3.80  -9.57   2.51  -8.00
200103  -5.35  -6.42  -4.21  -5.34  -6.48  -5.35  -5.68  -4.87  -5.07
200104   8.08  12.63   7.37   8.83   9.53   9.03   8.89  11.99   6.41
