
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199002  -3.05  -3.59  -2.72  -2.54  -3.15  -2.32  -2.02  -2.89  -2.16
199003  -1.78  -0.65  -1.23   0.54  -1.57  -3.01  -0.93  -2.24  -1.39
199004  -6.27  -6.94  -5.73  -5.57  -5.94  -6.89  -6.11  -7.79  -5.55
199005  14.28  13.71  14.04  15.20  14.34  14.83  13.99  14.19  14.18
199006   5.76   4.23   6.38   2.45   6.14   5.98   6.53   4.07   6.08
199007   4.93   6.43   3.57   3.54   4.37   4.03   3.67   5.24   5.22
199008  -6.28  -7.39  -7.78 -10.12  -6.87  -3.20  -7.87  -4.05  -7.93
199009  -8.54 -11.29  -7.54 -12.15  -8.07  -9.09  -7.20 -10.30  -7.92
199010   7.58   9.87   7.23   8.34   8.18   5.62   7.52   6.50   8.71
199011   4.88   5.87   3.01   6.91   3.71   5.60   2.88   6.13   2.39
199012  -0.26  -0.61   0.46  -0.11   0.49  -1.39   0.26  -1.79   2.25
199101   3.31   3.64   4.25   0.48   4.22   1.21   5.02   3.58   3.97
199102   8.26   9.13   8.07  13.78   6.37   8.76   6.85  11.10   6.53
199103  -4.95  -5.84  -3.02  -4.85  -4.03  -4.46  -3.83  -4.09  -4.14
199104   0.37   0.12  -0.62  -0.47   0.56   0.96  -0.28  -0.45   0.71
199105  -1.30  -3.51  -0.75  -3.24  -1.09  -0.12  -0.03  -1.75  -0.17
199106  -7.19  -9.88  -5.93  -6.25  -5.82  -8.42  -6.38  -7.86  -6.63
199107  11.79  11.34  11.92  10.66  11.09  11.06  11.63  10.01  10.80
199108   2.43   2.81   3.12   2.42   1.70   3.37   1.80   2.71   2.52
199109   4.09   3.57   5.08   4.31   3.78   2.76   5.21   4.00   4.89
199110  -2.24  -4.66  -0.16  -2.73  -0.26  -3.11   0.43  -4.29   1.03
199111  -3.84  -9.96  -1.48  -6.79  -2.25  -6.50  -1.79  -8.51  -2.06
199112   8.63   4.49  11.52   3.52  11.58   2.78  13.09   5.39  12.40
199201  -0.87   0.25   0.01  -1.88  -1.85  -2.09   0.15  -1.49  -0.36
199202  -1.51  -2.69  -1.42  -0.38  -2.17  -1.98  -0.85  -3.13  -1.03
199203  -5.30  -6.15  -5.34  -5.68  -6.01  -5.97  -5.55  -5.58  -6.29
199204  12.39  19.22  10.07  13.60   9.92  14.58   9.35  17.20   9.26
199205   5.42   6.56   5.20   5.74   5.68   6.14   4.94   5.91   5.19
199206  -2.93  -4.91  -2.82  -2.52  -5.10  -7.03  -2.46  -8.92  -1.36
199207  -4.39  -9.70  -3.05  -3.74  -1.90  -3.34  -2.70  -5.75  -3.30
199208  -0.62  -3.00  -0.20   1.04  -0.68   0.69   0.20  -2.76   0.28
199209  -1.45   0.32  -1.03  -4.58  -0.28  -3.80  -2.01   0.30  -2.80
199210  -8.37  -5.52  -8.09  -7.49  -8.53  -6.57  -8.19  -6.34  -8.80
199211   2.33   3.51   1.65   3.84   1.29   2.96   1.52   1.80   1.97
199212   3.63   4.94   2.38   3.61   2.80   4.63   1.97   5.39   1.60
