
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199212  -2.21  -4.17  -1.48  -2.58  -3.00  -1.30  -2.26  -3.05  -4.36
199301  -0.11   9.50  -1.68  10.39  -2.26   1.98  -1.46   5.03  -2.28
199302   0.96  -0.75   0.63   2.55   0.76   1.74   0.78   0.05   0.19
199303   3.40   6.38   2.76   5.14   2.85   3.37   2.44   6.30   3.25
199304   9.02  14.96   8.24  11.77   8.99   8.67   8.26  12.47   9.79
199305   4.68  10.13   4.77   6.94   5.67   7.25   7.03   4.55   4.98
199306  -6.44  -2.91  -6.50  -4.02  -4.67  -9.25  -8.25  -4.92  -5.33
199307   2.50  10.61  -0.35  14.14  -1.95   4.60   0.51  10.56   0.19
199308   7.53  11.13   6.59  10.36   9.04   7.05   7.65  10.69   6.64
199309   1.97  -3.68   4.28  -4.54   3.98  -4.32   5.31  -2.51   4.02
199310   8.19  16.07   5.92  17.10   5.67  13.20   7.38  15.20   5.93
199311  -8.33  -7.34 -10.47  -6.71  -8.62  -0.54 -11.35  -6.59 -10.41
199312   8.23  10.94   8.29   6.47  10.22   8.97   9.68   7.71   8.66
199401  17.91  24.29  13.25  20.03  13.12  24.14  12.36  20.47  16.65
199402  -2.89  -3.92  -2.05  -3.63  -0.75  -0.70  -2.85  -2.82  -4.31
199403  -5.59  -7.64  -2.57  -7.66   0.84  -8.30  -5.24  -5.57  -5.99
199404   5.94   6.90   6.10   2.68   6.86   6.21   3.64   5.07   5.04
199405  -3.57  -3.32  -3.94  -2.00  -4.02  -0.39  -0.50  -4.53  -1.81
199406  -2.07  -1.93  -0.81  -4.17   0.32  -3.23  -0.58  -3.13  -1.20
199407   6.74   7.50   7.40   4.57   7.26   5.75   6.69   4.36   6.95
199408  -1.15  -1.05   0.21  -2.46   0.23  -1.66  -0.01  -2.46  -1.19
199409  -0.13   0.06  -0.33   2.91  -2.05   1.31   0.39   0.94  -0.08
199410   7.48   5.56  10.06   6.63   8.87   5.16   9.47   6.39   7.45
199411  -4.42  -3.86  -4.30  -8.67  -4.38  -5.42  -4.59  -3.70  -4.05
199412   1.61   0.57   1.84   4.81   3.31   2.74   0.70   1.47   1.84
199501   0.63   1.86  -0.10   2.42  -0.04   2.41  -0.78   3.15  -0.07
199502   2.28   3.35   1.34   4.01   1.65   6.14   1.84   2.74   2.29
199503  -2.29  -5.80   0.97  -4.90  -0.50  -5.73   1.02  -3.44  -2.61
199504   8.70   7.83   8.55   7.64   7.79   8.50   8.68   7.22   8.51
199505   1.64   3.57   2.76   0.38   3.39  -1.92   1.95   1.45   1.62
199506   4.84   2.11   6.40   2.72   5.84   1.41   7.84   2.45   6.03
199507   7.37   7.29   6.91   7.94   5.93   8.20   7.91   7.55   6.71
199508  -3.15  -7.85  -0.64  -2.61  -0.89  -5.83  -0.29  -5.40  -1.61
199509   7.99   8.44   7.30  10.80   8.56  11.35   8.14   8.37   8.34
199510  -4.16  -2.71  -5.23   0.37  -5.99  -5.66  -4.61   0.83  -6.70
199511   0.66   2.80   0.98  -1.20   1.45  -2.09   1.19  -0.39   0.50
199512  -2.92  -0.30  -4.44  -0.21  -6.37  -0.96  -4.90  -1.66  -4.28
199601  -2.20  -3.21  -0.26  -4.83  -0.02  -4.51  -0.32  -1.57  -1.10
199602   8.05   9.73   6.35  12.17   5.13  15.69   6.28  13.62   5.97
199603   1.14   0.70   1.74   0.42   0.75   1.63   1.89   0.29   0.54
199604   0.79   1.99  -0.22   0.89  -0.71   0.75  -0.58   1.52   0.35
199605   3.20   0.93   5.46   1.86   5.32   1.65   4.80   1.16   5.06
199606   1.21   3.51  -0.97   2.63  -1.28   2.65  -2.61   3.52  -0.39
199607  -2.01   0.08  -3.24  -0.43  -2.90  -1.31  -2.46  -1.16  -1.59
199608   5.64   4.35   6.85   5.15   7.29   5.25   6.40   5.91   6.97
199609   2.69   2.64   2.51   2.14   2.90  -1.90   2.77   2.27   2.68
199610   3.45   1.30   5.23   0.88   5.26   0.25   6.53   2.10   6.37
199611   5.59   5.07   6.30   4.38   6.93   3.82   7.37   2.92   7.30
199612   2.82   2.67   2.34   4.07   1.62   3.31   1.42   4.96   1.41
199701   3.77   2.65   6.05   3.95   5.25   3.98   3.86   1.61   6.45
199702  -0.02   5.68  -3.39   3.92  -2.85   1.47  -2.96   3.78  -1.43
199703   2.86   2.66   3.03   2.96   4.23   3.81   4.23   2.53   3.49
199704  -5.45  -5.98  -4.22  -6.78  -6.23  -4.90  -7.11  -6.68  -5.72
199705   7.10   6.68   8.00   6.71   7.08   6.31   6.12   5.30   8.27
199706   5.87   3.35   7.08   2.86   8.07   3.09   8.30   4.96   6.15
199707   4.28   4.77   5.61   3.90   7.04   4.37   5.02   4.49   7.09
199708  -4.37  -4.75  -4.52  -4.55  -5.53  -4.62  -5.63  -4.20  -5.42
199709  12.30  10.50  14.46   9.86  15.08   8.63  14.63   9.43  15.86
199710  -7.70  -5.58  -9.54  -6.33  -8.55  -7.82  -7.05  -7.91  -6.98
199711  -0.03  -0.40  -1.26   1.41  -1.51  -1.47   0.12  -0.26  -0.80
199712  -0.71   1.25  -1.90   2.02  -1.21  -2.28  -1.78   0.22  -0.25
199801   1.11   1.05   1.36   0.71   1.06   2.10   2.11   1.90   1.21
199802   8.63   5.18  10.09   7.74  10.08   4.12  10.11   9.65  11.03
199803   7.47   9.56   6.54   5.98   6.10   9.69   7.09   8.87   6.32
199804   4.88   2.68   6.59   1.21   6.62   0.47   7.17   2.86   6.72
199805   0.90   1.52   0.33  -0.01   1.67   0.41   1.10   1.47   0.09
199806  -0.10  -4.61   0.68  -1.17   0.53  -5.42   0.65  -2.65   1.17
199807   1.76  -1.12   2.40   0.80   0.92  -1.60   1.40   0.80   1.71
199808 -16.91 -15.20 -17.20 -18.24 -16.64 -16.10 -15.08 -17.18 -17.91
199809  -5.16  -8.53  -2.76  -6.21  -4.10  -4.04  -3.87  -5.41  -3.37
199810   7.93   2.42   8.93   5.12   8.83   2.90   6.70   7.43   9.04
199811   4.84   3.34   5.66   3.51   5.53   1.19   7.38   2.96   6.75
199812   4.25   0.47   4.99   0.14   5.17  -0.42   5.44   0.67   5.14
199901   5.62   4.95   7.21  -1.60   7.81   0.59   8.16   5.65   7.05
199902  -5.14  -2.87  -5.69  -5.44  -5.38  -3.25  -5.87  -1.40  -5.50
199903   4.70   4.65   4.42   7.95   4.33   8.27   3.13   5.96   5.38
199904   4.81   6.49   3.68   9.02   3.90   9.53   3.21   8.23   4.07
199905  -3.20  -4.63  -2.88  -5.21  -2.72  -3.44  -0.66  -5.32  -2.57
199906   7.53   3.58  10.38   2.11  10.89   2.56  11.96   3.58  11.51
199907   4.03   6.90   3.10   8.61   3.20   9.92   3.09   8.09   2.49
199908  -0.21   1.88  -1.27   3.26  -1.80   4.29  -2.47   6.21  -1.24
199909   1.93  -1.25   2.97  -1.38   3.39  -1.64   2.50  -1.33   2.60
199910   9.08  -1.26  13.51   1.46  14.69  -0.48  16.50  -1.04  14.57
199911  12.00   0.44  15.72   4.13  17.25   2.52  18.41   2.73  16.72
199912  20.66   9.88  23.92  11.20  25.09  10.04  25.99  12.27  24.75
200001  -1.35  -3.67   0.33  -4.97   1.25  -4.01   3.38  -3.60   0.59
200002  11.50  -4.69  16.44   3.09  16.03   0.17  17.55  -2.23  16.67
200003   0.18   5.62  -1.13   6.27  -1.72   1.48  -1.52   2.71  -0.80
200004  -1.14  -7.76  -1.07  -9.65  -0.81  -8.34  -0.61  -1.18  -0.75
200005  -4.95   0.16  -6.45   4.74  -6.80   0.82  -7.50   1.47  -6.17
200006  -0.74  -1.67  -1.33   1.36  -1.61  -0.93  -0.90   3.51  -1.38
200007  -5.96  -5.21  -6.69   2.20  -5.92  -5.24  -5.15  -2.73  -6.70
200008  -0.16  -0.70  -0.12  -0.11   1.23   0.43   0.85  -0.62   0.15
200009  -8.90  -3.76 -11.29   1.17 -12.70  -1.97 -11.80  -2.27 -11.85
200010  -3.45  -2.86  -5.56  -1.37  -4.88  -3.45  -4.62   0.08  -5.48
200011  -4.10   0.58  -6.61   5.32  -7.22   1.91  -7.37   2.56  -6.62
200012   6.01  12.61   4.91  11.84   4.94  12.86   5.89  10.79   4.88
200101  -2.20   4.16  -2.30   0.23  -1.71   5.37  -3.07   5.79  -2.96
200102 -17.89   0.95 -22.12   0.87 -23.24   1.06 -23.19  -4.44 -23.14
200103 -11.35 -10.23 -12.67 -10.85 -14.02 -10.76 -15.50  -9.93 -14.29
200104  16.26   5.90  20.45   7.25  21.36  11.26  19.96  -0.05  20.16
200105  -5.90   1.11  -7.87  -0.79  -8.73   1.75  -6.25  -1.89  -6.35
200106  -8.95  -4.71 -10.89  -2.04 -12.53  -5.11 -12.14  -2.72 -12.41
200107  -0.02   2.31   0.21   0.35   0.48   1.43   0.01   2.31   0.41
