
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
198810   8.11   7.99   7.79   9.21   7.07   8.25   7.22   7.84   8.43
198811   1.93   2.96  -0.28   3.71   0.72   3.39  -1.22   3.89   0.07
198812   0.05   1.15  -0.26   1.08  -0.53   1.64  -0.76   0.41  -0.77
198901   3.59   3.99   2.74   4.11   3.03   4.92   4.34   4.60   2.55
198902  -0.84  -0.82  -0.70  -0.09  -1.68  -0.77  -0.44  -1.59   0.52
198903   0.44   1.01   0.66   0.13   0.60   1.33   0.11   0.96   0.16
198904   3.41   3.68   3.45   3.55   4.11   3.71   4.92   3.72   3.96
198905  -4.47  -4.51  -4.93  -4.18  -5.00  -3.23  -4.41  -4.61  -4.11
198906   3.09   3.23   2.81   3.69   3.10   3.92   2.91   2.56   3.07
198907  11.46  10.45  13.07  11.56  12.76   9.23  11.47  10.33  11.82
198908  -1.39  -1.69   0.39  -1.25  -1.37  -1.53  -0.02  -2.17  -0.43
198909   2.97   3.48   2.71   2.28   3.41   3.72   3.24   2.63   2.91
198910  -6.57  -6.07  -6.06  -7.50  -6.19  -5.84  -7.19  -5.61  -7.57
198911   6.27   6.59   5.93   6.40   6.71   6.13   6.30   6.39   5.49
198912   9.83  11.02   8.79   9.40   9.22  10.56   7.92  10.19   8.86
199001  -0.21   0.87  -1.29   0.54  -1.09   0.47  -0.46   0.92  -1.05
199002  -2.61  -2.16  -3.78  -1.58  -3.75  -1.23  -2.84  -1.28  -3.58
199003   2.99   2.99   4.02   4.06   3.66   2.83   4.19   2.09   3.67
199004  -2.65  -2.66  -2.21  -1.61  -2.69  -2.46  -2.06  -3.23  -1.91
199005   7.58   6.66   8.42   7.32   8.91   6.69   7.70   7.49   8.01
199006   3.90   3.01   4.77   2.35   5.06   3.76   5.30   2.86   4.57
199007   4.85   4.43   5.32   2.59   5.73   2.52   4.68   5.06   5.99
199008 -10.47 -10.95 -10.86 -12.60 -10.49  -9.89 -11.34  -8.19 -11.27
199009 -10.91 -11.89 -11.10 -12.87 -11.08 -11.38 -10.37 -10.68 -11.23
199010   8.66   7.29  10.05   6.92  10.79   5.78  10.81   5.89  10.60
199011   1.38   2.32   0.21   2.27   0.50   2.53   0.30   2.43   0.21
199012  -1.00  -0.46  -1.08  -0.03  -1.01  -0.87  -1.53  -1.14  -0.51
199101   2.99   4.18   2.76   2.95   2.75   3.07   2.12   4.26   3.19
199102   8.01   9.91   7.08  12.16   6.59  10.41   6.05   9.82   7.24
199103  -6.24  -6.29  -5.68  -5.75  -6.19  -5.44  -5.21  -5.68  -6.49
199104   0.65   0.45   0.12  -0.04   0.68   0.86   0.69   0.71   0.67
199105   0.20  -0.66   0.18  -0.49   0.10   0.99   0.09  -0.10   0.75
